fips,med.surg.beds,ped.med.surg.bed,icu.beds,nicu.beds,ped.icu.beds,calc.tot.beds,lisc.beds,tot.staffed.facility.beds,tot.staffed.hosp.beds,facility.inpatient.days,hosp.inpatiend.days
13035,24,0,0,0,0,24,25,24,0,4086,0
13227,39,0,6,0,0,52,52,52,0,12178,0
13305,0,0,0,0,0,84,0,84,0,15571,0
13285,77,9,12,0,0,390,542,390,130,114361,28168
13173,25,0,0,0,0,87,87,87,25,24012,2785
13211,25,0,0,0,0,25,25,25,0,5100,0
13009,0,0,0,0,0,272,0,272,0,77891,0
13043,0,0,0,0,0,25,0,25,0,2844,0
13071,65,13,5,0,0,168,168,168,0,42476,0
13165,0,0,0,0,0,25,0,25,0,2559,0
13297,0,0,0,0,0,52,0,52,0,8975,0
13193,0,0,0,0,0,49,0,49,0,5379,0
13159,12,0,0,0,0,67,72,67,12,20903,1382
13019,27,0,0,0,0,39,63,39,0,3034,0
13267,0,0,0,0,0,25,0,25,0,3179,0
13039,23,0,5,0,0,40,40,40,0,6623,0
13303,0,0,0,0,0,116,0,116,0,25898,0
13103,25,0,0,0,0,130,130,130,25,38599,2175
13031,0,0,0,0,0,189,0,189,0,42695,0
13151,152,0,24,8,0,236,236,236,0,70085,0
13107,0,0,0,0,0,91,0,91,0,20521,0
13251,0,0,0,0,0,25,0,25,0,2559,0
13321,0,0,0,0,0,18,0,18,0,4258,0
13293,28,5,8,0,0,83,115,83,0,14272,0
13275,122,0,18,0,0,306,328,306,242,81340,59396
13189,22,0,0,0,0,22,25,22,0,5326,0
13277,119,18,20,0,0,181,181,181,0,42850,0
13257,0,0,0,0,0,188,0,188,0,42902,0
13185,117,17,19,4,0,306,330,306,0,96984,0
13279,44,0,8,0,0,57,57,57,0,13777,0
13153,195,10,36,0,0,276,276,276,0,69440,0
13317,0,0,0,0,0,25,0,25,0,3775,0
13299,0,0,0,0,0,199,0,199,0,35241,0
13033,0,0,0,0,0,40,0,40,0,4300,0
13013,24,0,6,0,0,30,56,30,0,3957,0
13291,35,0,5,0,0,195,195,195,45,60600,7738
13247,0,0,0,0,0,158,0,158,0,40177,0
13163,37,0,0,0,0,37,37,37,0,1393,0
13155,0,0,0,0,0,64,0,64,0,12815,0
13027,25,0,0,0,0,25,25,25,0,5390,0
13119,27,0,8,0,0,41,56,41,0,7045,0
12027,40,0,5,0,0,45,49,45,0,3205,0
12037,0,0,0,0,0,15,0,15,0,1445,0
12069,770,26,127,0,0,1111,1065,1111,140,265699,41565
12055,192,11,38,0,0,277,323,277,0,57975,0
12105,1079,28,139,41,12,1617,1808,1617,0,356885,0
12087,21,0,4,0,0,140,25,140,0,21706,0
12103,1487,132,153,87,28,3899,3261,3899,590,826942,80712
12099,1902,127,237,62,25,4331,3438,4331,0,981807,0
12011,1995,186,291,123,37,5590,5002,5590,0,1343208,0
12013,25,0,0,0,0,25,25,25,0,3992,0
12109,130,5,24,7,0,204,335,204,0,59508,0
12059,16,0,4,0,0,20,20,20,0,1647,0
12127,661,39,169,30,5,1472,1528,1472,0,331331,0
12111,0,0,0,0,0,600,75,600,0,155138,0
12115,544,28,40,13,0,1400,1287,1400,0,297762,0
12057,1975,239,282,135,42,4465,3834,4465,435,1118947,120496
12081,176,0,21,0,0,944,505,944,0,199233,0
12019,255,10,20,12,4,506,503,506,0,132739,0
12035,81,0,18,0,0,99,99,99,0,32593,0
12053,240,4,36,0,0,546,346,546,0,165167,0
12071,1054,48,130,64,16,1677,1759,1677,0,456843,0
12086,3069,266,428,234,75,8003,7266,8003,1791,2009469,558410
12039,0,0,0,0,0,987,0,987,0,345102,0
12031,1743,100,257,94,40,3624,3515,3624,588,891341,155564
12131,91,0,12,0,0,126,126,126,0,19033,0
12133,25,0,0,0,0,59,59,59,25,14666,2849
12009,584,20,132,10,0,1790,1526,1790,0,415504,0
12051,22,0,3,0,0,25,25,25,0,1158,0
12021,658,18,61,19,7,1036,964,1036,0,224800,0
12005,96,21,12,10,0,382,655,382,0,165733,0
12091,139,7,24,0,0,489,175,489,0,100091,0
12017,171,0,18,0,0,332,204,332,0,72467,0
12095,1685,139,249,134,57,5138,5337,5138,211,1339408,51426
12101,674,8,138,0,0,1330,1286,1330,0,316149,0
12083,173,8,30,0,0,771,583,771,0,198912,0
12073,239,26,10,17,10,822,772,822,453,220898,131215
12033,474,41,28,27,10,1222,1058,1222,0,300743,0
12001,889,88,106,46,46,1783,1849,1783,164,478710,26101
12089,40,0,8,0,0,52,62,52,0,11819,0
12113,133,0,8,0,0,254,255,254,0,60177,0
12045,12,0,0,0,0,12,19,12,0,1840,0
12097,233,8,40,18,6,512,488,512,0,136205,0
12023,0,0,0,0,0,152,0,152,0,28718,0
12125,0,0,0,0,0,145,0,145,0,31521,0
12121,25,0,0,0,0,25,25,25,0,3354,0
12079,25,0,0,0,0,25,25,25,0,1504,0
12003,0,0,0,0,0,68,0,68,0,9454,0
12063,29,0,26,0,0,68,100,68,0,12802,0
12093,0,0,0,0,0,100,0,100,0,17410,0
12117,0,0,0,0,0,276,50,276,0,65998,0
12107,82,0,10,0,0,99,99,99,0,22922,0
12123,12,6,6,0,0,24,48,24,0,1913,0
12015,521,7,54,7,0,681,699,681,0,135647,0
12061,112,3,9,0,0,454,332,454,0,111029,0
12007,49,0,0,0,0,49,49,49,0,3815,0
12085,397,8,44,16,0,563,524,563,0,125203,0
12049,3,0,0,0,0,25,25,25,0,8339,0
12075,0,0,0,0,0,20,0,20,0,2503,0
12119,0,0,0,0,0,40,40,40,0,12049,0
39095,790,62,134,73,26,2280,2737,2280,0,540594,0
39099,268,8,51,0,0,834,814,834,0,199980,0
39049,2315,301,303,342,54,5475,6108,5475,0,1369434,0
39153,608,205,104,92,23,2035,2518,2035,0,472178,0
39093,362,8,62,0,0,894,1000,894,0,171017,0
39043,0,0,0,0,0,239,0,239,0,47450,0
39139,115,7,0,0,0,274,381,274,0,57320,0
39063,90,0,16,0,0,159,150,159,0,23744,0
39035,2887,265,430,171,55,6783,6894,6783,2080,1669399,538605
39081,135,14,6,0,0,359,572,359,0,64091,0
39119,191,6,22,0,0,321,321,321,0,57900,0
39009,21,0,8,0,0,282,132,282,0,66157,0
39109,39,0,6,0,0,78,182,78,0,23087,0
39003,194,10,37,0,0,508,778,508,0,110523,0
39113,957,112,108,92,24,2413,2526,2413,0,592435,0
39079,24,0,0,0,0,24,24,24,0,2355,0
39061,1178,355,179,197,50,4321,3822,4321,0,1061857,0
39039,8,0,7,0,0,83,35,83,0,10088,0
39151,548,23,74,33,0,1270,1463,1270,596,277547,101628
39171,0,0,0,0,0,148,0,148,0,23433,0
39089,126,19,38,4,0,262,227,262,0,32362,0
39165,96,0,16,0,0,332,324,332,0,50544,0
39157,111,0,13,0,0,167,174,167,0,21195,0
39005,20,0,8,0,0,39,110,39,0,7215,0
39007,115,11,19,0,0,315,413,315,136,77338,20592
39025,62,0,61,0,0,147,147,147,0,28837,0
39013,20,20,5,0,0,185,65,185,0,24430,0
39091,27,0,7,0,0,46,100,46,0,3739,0
39143,71,9,19,0,0,126,159,126,0,7582,0
39087,0,0,0,0,0,8,0,8,0,457,0
39173,85,4,5,0,0,108,196,108,0,8131,0
39033,0,0,0,0,0,60,0,60,0,8348,0
39067,0,0,0,0,0,25,0,25,0,1152,0
39059,69,0,11,0,0,156,189,156,0,29184,0
39023,0,0,0,0,0,299,0,299,0,72310,0
39055,95,0,12,0,0,356,225,356,0,80161,0
39141,155,6,12,0,0,531,261,531,0,128233,0
39161,13,0,5,0,0,67,99,67,0,13860,0
39017,243,0,38,0,0,718,539,718,0,156895,0
39145,135,0,16,0,0,258,436,258,0,62225,0
39129,40,0,8,0,0,56,83,56,0,6263,0
39107,46,0,5,0,0,60,76,60,0,5744,0
39031,37,0,7,0,0,44,56,44,0,6451,0
39057,41,0,8,0,0,111,49,111,0,17471,0
39041,43,0,6,0,0,61,135,61,0,9345,0
39029,0,0,0,0,0,236,0,236,0,54892,0
39147,17,2,4,0,0,256,25,256,0,44966,0
39053,100,24,14,0,0,195,266,195,0,22901,0
39071,43,0,0,0,0,60,60,60,0,7377,0
39037,22,2,6,0,0,53,92,53,0,5782,0
39065,25,0,0,0,0,25,25,25,0,1341,0
39045,170,4,20,0,0,222,222,222,0,42228,0
39103,151,0,12,0,0,163,191,163,0,28052,0
39073,21,0,4,0,0,35,35,35,0,5664,0
39097,24,0,13,0,0,53,94,53,0,3837,0
39167,25,0,0,0,0,253,35,253,0,54797,0
39101,80,4,15,0,0,174,270,174,0,32455,0
39159,26,0,0,0,0,74,97,74,0,5413,0
39075,27,0,4,0,0,41,55,41,0,5227,0
39117,0,0,0,0,0,22,0,22,0,1523,0
39083,50,0,12,0,0,71,111,71,0,11971,0
39069,17,0,3,0,0,25,25,25,0,2709,0
39077,72,0,12,0,0,167,193,167,78,35369,9445
39169,16,0,0,0,0,177,25,177,0,25292,0
39085,232,0,49,0,0,511,352,511,0,110308,0
39125,0,0,0,0,0,25,0,25,0,2471,0
39123,19,2,4,0,0,25,25,25,0,1108,0
39133,103,0,16,0,0,135,280,135,0,28410,0
39011,19,0,2,0,0,72,131,72,60,6023,3403
39149,36,4,7,0,0,71,71,71,0,8927,0
39175,15,1,0,0,0,25,25,25,0,2654,0
39021,0,0,0,0,0,25,0,25,0,2981,0
39155,77,0,12,0,0,497,219,497,0,114738,0
39047,17,1,6,0,0,25,25,25,0,2482,0
39051,16,1,3,0,0,106,106,106,35,27789,3847
39131,25,0,0,0,0,25,25,25,0,2631,0
39001,0,0,0,0,0,25,0,25,0,2844,0
39027,0,0,0,0,0,165,0,165,0,11944,0
18067,23,4,13,0,0,318,147,318,0,41882,0
18097,1776,241,322,245,87,4489,4251,4489,0,1070956,0
18089,575,44,92,46,0,2659,1536,2659,0,547840,0
18095,174,14,27,0,0,306,443,306,0,58932,0
18003,639,58,101,94,18,1830,1430,1830,722,434370,188271
18043,120,10,16,0,0,323,235,323,0,61567,0
18099,49,2,7,0,0,184,109,184,0,40011,0
18091,63,4,9,0,0,262,227,262,0,46488,0
18163,610,34,45,40,16,1361,1346,1361,0,312616,0
18179,24,4,5,0,0,54,79,54,41,7216,4048
18173,47,0,0,24,0,181,141,181,0,41689,0
18057,231,14,33,38,6,580,611,580,0,95772,0
18105,142,14,16,18,0,353,282,353,0,80341,0
18019,103,0,14,0,0,285,336,285,0,62444,0
